IDIndikator;skrIndikator;IDTer;nTer;IDVrPod;nVrPod;nPol;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
18030802IND01;Пројекције становништва по општинама;70904;Параћин;1;Базна популација - процене становништва средином 2011.  године;Укупно;54335;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71030;Рековац;1;Базна популација - процене становништва средином 2011.  године;Укупно;11081;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71048;Јагодина;1;Базна популација - процене становништва средином 2011.  године;Укупно;71849;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71056;Свилајнац;1;Базна популација - процене становништва средином 2011.  године;Укупно;23627;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71200;Ћуприја;1;Базна популација - процене становништва средином 2011.  године;Укупно;30735;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70017;Александровац;1;Базна популација - процене становништва средином 2011.  године;Укупно;26554;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70343;Брус;1;Базна популација - процене становништва средином 2011.  године;Укупно;16362;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70378;Варварин;1;Базна популација - процене становништва средином 2011.  године;Укупно;18002;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70670;Крушевац;1;Базна популација - процене становништва средином 2011.  године;Укупно;128862;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71170;Трстеник;1;Базна популација - процене становништва средином 2011.  године;Укупно;43031;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71196;Ћићевац;1;Базна популација - процене становништва средином 2011.  године;Укупно;9489;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;RS217;Рашка област;1;Базна популација - процене становништва средином 2011.  године;Укупно;308927;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70459;Врњачка Бања;1;Базна популација - процене становништва средином 2011.  године;Укупно;27535;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70653;Краљево;1;Базна популација - процене становништва средином 2011.  године;Укупно;125460;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70874;Нови Пазар;1;Базна популација - процене становништва средином 2011.  године;Укупно;100109;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71021;Рашка;1;Базна популација - процене становништва средином 2011.  године;Укупно;24709;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71188;Тутин;1;Базна популација - процене становништва средином 2011.  године;Укупно;31114;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70033;Аранђеловац;1;Базна популација - процене становништва средином 2011.  године;Укупно;46271;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70076;Баточина;1;Базна популација - процене становништва средином 2011.  године;Укупно;11750;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70599;Кнић;1;Базна популација - процене становништва средином 2011.  године;Укупно;14275;A;Коначан податак;F;Слободан за објављивање;;
