naziv, pib, grad, adresa, tip, broj_automata_ili_uplatnih_mesta 
ALPHAPEX D.O.O. BEOGRAD, 105027608, Палилула, Цвијићева 93а, аутомати, 6
ALPHAPEX D.O.O. BEOGRAD, 105027608, Раковица, Борска 15 б, аутомати, 10
ALPHAPEX D.O.O. BEOGRAD, 105027608, Раковица, Борска 15 б, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Раковица, Велизара Станковића 7, аутомати, 5
ALPHAPEX D.O.O. BEOGRAD, 105027608, Раковица, Велизара Станковића 7, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Рача, Карађорђева 35, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Рача, Карађорђева 57, аутомати, 5
ALPHAPEX D.O.O. BEOGRAD, 105027608, Рашка, Апартманско насеље Сунчани врхови- Копаоник, приземље  локал Л/17, аутомати, 14
ALPHAPEX D.O.O. BEOGRAD, 105027608, Рашка, Копаоник, Хотел Милмари, к.п. 891/11 КО Копаоник, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Рашка, Копаоник, Хотел Милмари; кат. парц. 891/11, аутомати, 5
ALPHAPEX D.O.O. BEOGRAD, 105027608, Рума, Железничка 154, КО Платичево, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Рума, Платичево, Железничка 154, аутомати, 9
ALPHAPEX D.O.O. BEOGRAD, 105027608, Рума, Платичево, ул. Железничка бб, кат. парцела 182, аутомати, 10
ALPHAPEX D.O.O. BEOGRAD, 105027608, Савски Венац, Облаковска 61а, аутомати, 7
ALPHAPEX D.O.O. BEOGRAD, 105027608, Савски Венац, Облаковска 61а, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Сопот, Милосава Влајића 15, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Сопот, Милосава Влајића 15, аутомати, 6
ALPHAPEX D.O.O. BEOGRAD, 105027608, Сремска Митровица, Божице Стојшић  2 а, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Сремска Митровица, Божице Стојшић 2А, аутомати, 5
ALPHAPEX D.O.O. BEOGRAD, 105027608, Сремска Митровица, Војводе Степе 20в, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Сремска Митровица, Војводе Степе 20в, аутомати, 13
ALPHAPEX D.O.O. BEOGRAD, 105027608, Сремска Митровица, Железничка 60, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Сремска Митровица, Краља Петра И  5, аутомати, 14
ALPHAPEX D.O.O. BEOGRAD, 105027608, Сремска Митровица, Краља Петра И  5, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Сремска Митровица, Мачвански кеј 63, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Суботица, Сомборски пут 83, аутомати, 11
ALPHAPEX D.O.O. BEOGRAD, 105027608, Суботица, Сомборски пут 83, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Топола, Булевар Краља Александра 24, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Тутин, Омладинска бб, кат. парцела 915 КО Тутин, аутомати, 11
ALPHAPEX D.O.O. BEOGRAD, 105027608, Тутин, Омладинска бб, кат. парцела 915 КО Тутин, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Ужице, Николе Пашића  6 з, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Ужице, Омладинска 52, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Шабац, Војводе Јанка Стојићевића 101, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Шабац, Војводе Јанка Стојићевића 101, аутомати, 14
ALPHAPEX D.O.O. BEOGRAD, 105027608, Шабац, Кнеза Милоша 1 б, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Шабац, Кнеза Милоша 1б, аутомати, 14
ALPHAPEX D.O.O. BEOGRAD, 105027608, Шабац, Поп Лукина 1, аутомати, 12
ALPHAPEX D.O.O. BEOGRAD, 105027608, Шабац, Поп Лукина 1, кладионица, 1
BALKAN GAMING SERVICES D.O.O. BEOGRAD, 105571700, Бујановац, Боре Станковића ББ, аутомати, 18
BALKAN GAMING SERVICES D.O.O. BEOGRAD, 105571700, Бујановац, Карађорђа Петровића ББ, аутомати, 28
BALKAN GAMING SERVICES D.O.O. BEOGRAD, 105571700, Врање, Београдска ББ, аутомати, 22
BALKAN GAMING SERVICES D.O.O. BEOGRAD, 105571700, Врњачка Бања, Врњачка 1, аутомати, 24
